NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
563,제주특별자치도 제주시 연동,258,258,0,연동뜨레모아,84.9044,202505,8,"59,000",-,11,개인,개인,2016,연동4길 36,20250528,중개거래,제주 제주시,-
564,제주특별자치도 제주시 연동,258,258,0,연동뜨레모아,84.9044,202505,8,"61,000",-,11,개인,개인,2016,연동4길 36,-,중개거래,제주 제주시,-
565,제주특별자치도 제주시 삼양이동,2333,2333,0,제주삼화사랑으로부영5차,84.3616,202505,8,"53,000",-,10,개인,개인,2013,화삼로 166,-,중개거래,제주 제주시,-
566,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,101.9934,202505,8,"70,000",111동,5,개인,개인,2017,대청로 34,-,중개거래,제주 서귀포시,25.06.30
567,제주특별자치도 서귀포시 강정동,200,200,0,제주강정유승한내들퍼스트오션,84.991,202505,7,"51,500",112동,3,공공기관,개인,2017,대청로 34,-,중개거래,제주 서귀포시,25.05.20
568,제주특별자치도 제주시 노형동,May-27,2527,5,세기7차,84.69,202505,7,"31,500",-,6,개인,개인,1996,정존3길 34,-,중개거래,제주 제주시,25.06.16
569,제주특별자치도 제주시 연동,300-3,300,3,남해오네뜨,32.39,202505,7,"19,400",-,6,개인,개인,2019,삼무로11길 9,-,중개거래,제주 제주시,25.06.17
570,제주특별자치도 제주시 외도일동,529-1,529,1,해밀마루,47.71,202505,7,"19,500",-,5,개인,개인,2019,우정로15길 48,-,중개거래,제주 제주시,25.06.02
571,제주특별자치도 서귀포시 성산읍 고성리,1123-2,1123,2,드림펠리스,69.0088,202505,7,"17,000",101,2,개인,개인,2015,고성동서로 56,-,직거래,-,25.05.30
572,제주특별자치도 제주시 건입동,1044-8,1044,8,건입미화,59.87,202505,7,"11,700",나,4,개인,개인,1994,동문로21길 4-7,-,중개거래,제주 제주시,25.06.10
573,제주특별자치도 제주시 용담이동,609-2,609,2,영보맨션,72.69,202505,7,"14,900",나,2,개인,개인,1992,용화로5길 8,-,직거래,-,25.05.07
574,제주특별자치도 서귀포시 동홍동,157,157,0,동홍동코아루,60.9375,202505,7,"27,800",101,8,개인,개인,2013,일주동로 8565,-,중개거래,제주 서귀포시,25.06.10
575,제주특별자치도 제주시 도남동,811,811,0,도남해모로리치힐아파트,84.9753,202505,7,"68,000",-,7,개인,개인,2019,도남서길 14,-,중개거래,제주 제주시,-
576,제주특별자치도 제주시 노형동,Feb-85,2585,2,노형이-편한세상,125.659,202505,7,"88,000",-,6,개인,개인,2005,수덕로 78,-,중개거래,제주 제주시,-
577,제주특별자치도 제주시 노형동,754-4,754,4,부영2차,45.9078,202505,6,"28,000",-,9,개인,개인,2001,과원로 11,-,중개거래,제주 제주시,-
578,제주특별자치도 서귀포시 서호동,1545,1545,0,HausD블루오션,84.94,202505,6,"44,800",203동,12,개인,개인,2015,서호남로 92-16,-,중개거래,제주 서귀포시,25.07.18
579,제주특별자치도 제주시 조천읍 함덕리,Jan-72,2872,1,함덕천마에코피아,44.6269,202505,6,"15,000",-,4,개인,개인,2018,함덕6길 39,-,중개거래,제주 제주시,25.06.17
580,제주특별자치도 제주시 외도일동,560-1,560,1,외도부영1차,49.896,202505,5,"24,000",-,4,개인,개인,2000,우정로11길 22,20250506,중개거래,제주 제주시,-
